po_id,po_number,po_date,total_amount,vendor_ref,delivery_terms,payment_term,shipment_mode,warranty_period,delivery_period,contact_person,mobile,created_at,updated_at,item_code,vendor_name,supplier_gstin,buyer_gstin,delivery_location,supplier_pan
2,PC24-25POAR 444,2024-12-31,123900.00,,,,,,,,,2025-04-30 14:08:38.374991,2025-04-30 14:08:38.374991,,,,,,
3,PC24-25_PO 333,2025-02-06,5598.00,VENDOR REFERENCE AS PER SAMPLE,,45 DAYS FROM THE DATE OF MATERIAL RECEIPT,BY ROAD,STANDARD,IMMEDIATE,ANJEE,703632031,2025-04-30 14:08:38.374991,2025-04-30 14:08:38.374991,,,,,,
4,PC24-25_PO 305,2025-01-27,9690.00,,,,,,,,,2025-04-30 14:08:38.374991,2025-04-30 14:08:38.374991,,,,,,
1,PC24-25_APO 1,2024-09-10,123900.00,,,,,,,,,2025-04-30 14:08:38.374991,2025-04-30 14:08:38.374991,,,,,,
5,AN24-25/PO 665,2025-02-05,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06393,INNOVATIVE INFRA & MINING SOLUTIONS LIMITED-ODISHA,21AAHCI1010J1Z8,,SAMBALPUROdishaIndia,AAHCI1010J  
6,TP24-25POAR 812,2025-01-09,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00009,AGARWAL EARTHMOVING ENTERPRISES-DELHI,07AALPG2743F1ZW,,111-D. KAMALA NAGARDELHIDelhiIndia,AALPG2743F  
7,TP24-25/PO 1516,2025-03-08,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00232,RAGHVENDRA ENTERPRISES-MADHYAPRADESH,23CWNPS3105D1ZR,,BESIDE GMMCO. JAYANT ROADMEDHAULIMadhya PradeshIndia,CWNPS3105D  
8,TP24-25/PO 1519,2025-03-01,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00487,GLOBAL COMMUNICATION SYSTEM,36AANFG0664M1ZZ,,"HOUSE NO.21-6-109,FCI(X) ROAD,NTPC,RAMAGUNDAM,GODAVARIKHANI,DIST:PEDDAPALLY,TELANGANARAMAGUNDAMTelanganaIndia",AANFG0664M  
9,TP24-25POAR 1094,2025-03-18,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06409,SHREE BALAJI CARBONIC GASES,22AGBPA1822D1ZI,,RAIGARHRAIGARHChhattisgarhIndia,AGBPA1822D  
10,TP24-25/PO 1373,2025-02-13,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00232,RAGHVENDRA ENTERPRISES-MADHYAPRADESH,23CWNPS3105D1ZR,,BESIDE GMMCO. JAYANT ROADMEDHAULIMadhya PradeshIndia,CWNPS3105D  
11,AN24-25/PO 702,2025-02-04,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04229,BUSINESS CENTRE,21BZAPS5927C1ZN,,"GANESH LAXMI MARKET COMPLEX BYPASS ROAD,ANGULOdishaIndia",BZAPS5927C  
12,AN24-25/PO 775,2025-03-10,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04331,CHIKU AUTOMOBILES,21AKHPM1624M1ZA,,HATATOTA ROADOdishaIndia,AKHPM1624M  
13,AN24-25POAR 689,2025-02-10,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S05020,MALTEA GLOBAL SOLUTION PVT LTD,36AAMCM7546C1ZA,,"First Floor, Plot No 39, Mano Vikas Nagar,TelanganaIndia",AAMCM7546C  
14,PC24-25POAR 564,2025-03-10,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S03528,WIRTGEN INDIA PVT. LTD-JH,20AAACW2816R1Z7,,HOUSE NO. O-SFS99JharkhandIndia,AAACW2816R  
15,TP24-25/PO 1319,2025-02-03,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04158,JTRONIX TECHNOLOGIES,27CROPS6494M1ZJ,,"GALA NO.10,TURBHE INDUSTRIAL PARKMaharashtraIndia",CROPS6494M  
16,TP24-25/PO 1593,2025-01-16,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04394,ARYA BUILDCON,21AABHL9940F1ZF,,"KHETRAJPUR,SAMBALPUROdishaIndia",AABHL9940F  
17,TP24-25/PO 1437,2025-02-20,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06387,RAMESHWAR NUT BOLTS,22AGWPA7528F1ZE,,KHARSIA ROADRAIGARHChhattisgarhIndia,AGWPA7528F  
18,TP24-25/PO 1678,2025-02-28,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06710,SURENDRA AUTOMOBILES,22AFJPA0972M1ZK,,"DHIMRAPUR CHOWK,RAIGARHRAIGARHChhattisgarhIndia",AFJPA0972M  
19,PC24-25/PO 328,2025-02-15,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06580,MAKSUB TYRE SHOP,               ,,NULLNULLNULLNULL,DEEPS0831C  
20,HO24-25/PO 154,2025-02-10,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00176,M.B ENTERPRISES,36AAEFM6621K1Z5,,4-4-85. MAHANKALI STREETSECUNDERABADTelanganaIndia,AAEFM6621K  
21,AN24-25/PO 661,2025-01-26,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06532,GUPTA BROTHERS,21BKOPG9525K1ZW,,"NH:-55,MAIN ROAD,ANGUL-759122ANGULOdishaIndia",BKOPG9525K  
22,AN24-25POAR 736,2025-03-05,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04081,HINGULA BATTERIES,21AGUPB9119R1ZT,,"BYE PASS,HATATOTAANGULOdishaIndia",AGUPB9119R  
23,TP24-25POAR 1041,2025-03-06,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00169,"LARSEN & TOUBRO LIMITED, NAGPUR",27AAACL0140P2ZI,,LOGISTICS PARK. SURVY NO. 99/1. 14TH  MILLSNAGPURMaharashtraIndia,AAACL0140P  
24,AN24-25POAR 638,2025-01-23,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04513,DOZER WORLD PRIVATE LIMITED - ODISHA,21AADCD2500J1ZC,,"APARAJITA APT.,FLAT  # 303, PL.#42,OdishaIndia",AADCD2500J  
25,CM24-25POAR 1038,2025-03-05,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S03345,HANUMAN JI TRADERS - JHARKHAND,20ANIPA1895L1Z2,,TANDWAJharkhandIndia,ANIPA1895L  
26,AN24-25/PO 677,2025-02-13,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04174,J.K.TRADERS & CO,21AAYPR6261N1ZW,,HANDIDHUA CHOCKOdishaIndia,AAYPR6261N  
27,AN24-25/PO 771,2025-03-01,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04229,BUSINESS CENTRE,21BZAPS5927C1ZN,,"GANESH LAXMI MARKET COMPLEX BYPASS ROAD,ANGULOdishaIndia",BZAPS5927C  
28,PC24-25/PO 342,2025-02-20,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04985,GOSWAMI & DAS OXYGEN AGENCY,               ,,NULLNULLNULLNULL,            
29,CM24-25POAR 1070,2025-03-21,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00431,GANGA ENTERPRISES,20BAOPP8212Q1Z8,,NATRAJ NAGARHAZARIBAGJharkhandIndia,BAOPP8212Q  
30,TP24-25POAR 913,2025-02-04,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S03110,NEW DIAMOND ELECTRICALS WORKS,23AGRPM0784A1ZJ,,"Main Road, SingrauliMadhya PradeshIndia",AGRPM0784A  
31,CM24-25POAR 1026,2025-02-24,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00235,RAJDEEP ELECTRIC & HARDWARE STORE,20AGNPC5915F1ZU,,Shaheed Chowkvdev Complex.TANDWAJharkhandIndia,AGNPC5915F  
32,AN24-25POAR 592,2025-01-08,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00032,ASIAD BEARING & ENGG.CO,09BKTPS1673M1Z4,,Auri more. AnparaAURI MOREUttar PradeshIndia,BKTPS1673M  
33,AN24-25/PO 658,2025-01-23,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06533,SRI SAI ENGINEERING WORKS AP,37AAIFS4059D1Z4,,"Shed No 33, Phase 3,VijayawadaAndhra PradeshIndia",AAIFS4059D  
34,TP24-25/PO 1290,2025-01-21,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06638,SBL ENERGY LIMITED,27AADCA3124B1ZE,,NAGAPURMaharashtraIndia,AADCA3124B  
35,TP24-25POAR 1121,2025-03-28,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06482,GARG HARDWARE,22ADBPG5772D1Z1,,"NEAR RAM NIWAS TALKIES ROAD,RAIGARHChhattisgarhIndia",ADBPG5772D  
36,TP24-25POAR 1030,2025-03-05,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00242,RANCHI RADIATOR WORKS,23APBPR3622K1ZZ,,MAIN ROAD. SINGRAULISINGRAULIMadhya PradeshIndia,APBPR3622K  
37,CM24-25POAR 1008,2025-02-25,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S05089,VALVOLINE CUMMINS PRIVATE LIMITED - JHARKHAND,20AAACW0287A1Z1,,DAMKARADHANBADJharkhandIndia,AAACW0287A  
38,AN24-25/PO 790,2025-03-21,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06532,GUPTA BROTHERS,21BKOPG9525K1ZW,,"NH:-55,MAIN ROAD,ANGUL-759122ANGULOdishaIndia",BKOPG9525K  
39,CM24-25POAR 928,2025-01-28,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06417,INNOVATIVE INFRA & MINING SOLUTIONS LIMITED-JHARKHAND,20AAHCI1010J1ZA,,"PLOT NO.605, KHATA NO.51, K G ASHRAM POST OFFICE, MOUZA-JIYALGORA, P.S. GOVINDPURJharkhandIndia",AAHCI1010J  
40,PC24-25POAR 478,2025-01-23,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00199,MRF LIMITED. RANCHI,20AAACM4154G1Z1,,Kathal More. Near D.A.V.HehalRANCHIJharkhandIndia,AAACM4154G  
41,CM24-25POAR 1090,2025-03-26,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S05089,VALVOLINE CUMMINS PRIVATE LIMITED - JHARKHAND,20AAACW0287A1Z1,,DAMKARADHANBADJharkhandIndia,AAACW0287A  
42,AN24-25POAR 721,2025-02-27,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06921,VALVOLINE CUMMINS PVT LTD - ODISHA,21AAACW0287A2ZY,,"Plot No.426,NH 5OdishaIndia",AAACW0287A  
43,CM24-25POAR 952,2025-02-03,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00080,DOZER WORLD PVT LTD-DELHI,07AADCD2500J1Z2,,NULLNULLNULLNULL,AADCD2500J  
44,AN24-25POAR 566,2025-01-04,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00861,SRI RAMESH AUTOMOBILES,36CHSPK2407C1ZH,,"# 22-7-126/3, KAZIPALLYRAMAGUNDAMTelanganaIndia",CHSPK2407C  
45,TP24-25/PO 1420,2025-02-21,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00333,TATA HITACHI CONSTRUCTION MACHINERY COMPANY PVT LTD. CHHATTISGAR,22AAACT9077B1ZK,,BALODABAZAR. RAIPURCHHATTISGARHChhattisgarhIndia,AAACT9077B  
46,TP24-25POAR 1083,2025-03-13,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00083,DURGA AUTOMOBILES,36ASTPG2015J1ZO,,H. NO 22-7-13D. KAZIPALLY. SCI ROAD. NTPCRAMAGUNDAMTelanganaIndia,ASTPG2015J  
47,AN24-25/PO 765,2025-03-10,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06532,GUPTA BROTHERS,21BKOPG9525K1ZW,,"NH:-55,MAIN ROAD,ANGUL-759122ANGULOdishaIndia",BKOPG9525K  
48,AN24-25POAR 616,2025-01-16,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S03933,TIPPER AND HYDRAULIC SOLUTIONS,36AFOPM2951D1ZE,,"H NO. 2-148/8, 1ST FLOOR, FRONT PORTIONHYDERABADTelanganaIndia",AFOPM2951D  
49,PC24-25/PO 376,2025-03-01,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06619,JAYDEEP AUTO CENTRE,20BMAPK3883J1Z5,,"MALPAHARI ROAD PAKUR,NEAR PETROL PUMP-816107JHARKHANDJharkhandIndia",BMAPK3883J  
50,CM24-25POAR 893,2025-01-22,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S03528,WIRTGEN INDIA PVT. LTD-JH,20AAACW2816R1Z7,,HOUSE NO. O-SFS99JharkhandIndia,AAACW2816R  
51,TP24-25/PO 1332,2025-02-03,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06399,KARTAR MOTORS,22AAKCS8152Q2ZP,,VILLAGE BODSARABILASPURChhattisgarhIndia,AAKCS8152Q  
52,PC24-25POAR 594,2025-03-23,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00334,TATA HITACHI CONSTRUCTION MACHINERY COMPANY PVT LTD. JHARKHAND,20AAACT9077B1ZO,,TELCON WARE HOSE. NAWAGARHJHARKHANDJharkhandIndia,AAACT9077B  
53,TP24-25/PO 1465,2025-02-16,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06726,TAYAL AUTO PARTS,22AMUPG8491M1ZA,,"DHIMRAPIR CHOWK,JINDAL ROAD,RAIGARH,RAIGARH(C.G)RAIGARHChhattisgarhIndia",AMUPG8491M  
54,TP24-25/PO 1352,2025-02-02,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06775,SOLAR INDUSTRIES INDIA LIMITED - ODISHA,21AACCS2132E1Z5,,"PLOT NO.389-392,MAUZA BEHRAPALI MAUZA BEHERALIJHARAUGUDAOdishaIndia",AACCS2132E  
55,CM24-25POAR 945,2025-02-01,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00431,GANGA ENTERPRISES,20BAOPP8212Q1Z8,,NATRAJ NAGARHAZARIBAGJharkhandIndia,BAOPP8212Q  
56,PC24-25POAR 523,2025-02-15,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04920,BGR ROCK DRILLS,36CQFPB0867F1Z2,,"1-116,KESHAVAPURMEDCHALTelanganaIndia",CQFPB0867F  
57,TP24-25/PO 1472,2025-02-07,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06538,ZAFAR AUTO ELECTRICALS,22AQTPN3715C1Z0,,"DHIMRAPUR CHOUK,JINDAL ROAD,RAIGARH.ChhattisgarhIndia",AQTON3715C  
58,AN24-25POAR 731,2025-03-05,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S03933,TIPPER AND HYDRAULIC SOLUTIONS,36AFOPM2951D1ZE,,"H NO. 2-148/8, 1ST FLOOR, FRONT PORTIONHYDERABADTelanganaIndia",AFOPM2951D  
59,CM24-25POAR 1048,2025-03-10,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S05089,VALVOLINE CUMMINS PRIVATE LIMITED - JHARKHAND,20AAACW0287A1Z1,,DAMKARADHANBADJharkhandIndia,AAACW0287A  
60,CM24-25POAR 848,2025-01-09,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06877,ADITYA ENTERPRISES - JHARKHAND,20CBSPD7048G1ZQ,,CHHAYA NAGARJAMSHEDPURJharkhandIndia,CBSPD7048G  
61,TP24-25POAR 1056,2025-03-10,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04792,TRICHUR SUNDARAM SANTHANAM & FAMILY PRIVATE LIMITED - TELANGANA,36AAGCT5084N1ZP,,"10-4-92/3, LB Nagar,HyderabadTelanganaIndia",AAGCT5084N  
62,AN24-25/PO 784,2025-03-27,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04174,J.K.TRADERS & CO,21AAYPR6261N1ZW,,HANDIDHUA CHOCKOdishaIndia,AAYPR6261N  
63,TP24-25/PO 1289,2025-01-17,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06836,SOLAR INDUSTRIES INDIA LIMITED - NAGPUR,27AACCS2132E1ZT,,"CHAKDOH PLANT KH NO 37-39 & 78-83,NAGPURMaharashtraIndia",AACCS2132E  
64,CM24-25POAR 1033,2025-03-03,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S05090,INFRA EQUIP PRIVATE LIMITED,20AABCI3185J1ZS,,PARK GT ROAD(NH2)DHANBADJharkhandIndia,AABCI3185J  
65,CM24-25POAR 982,2025-02-13,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06646,REVETHI DEALERS PRIVATE LIMITED - JHARKHAND (NEW),20AABCR7242R2Z4,,"KHATA NO.26,PLOT NO.302,303,304JANGALPURJharkhandIndia",AABCR7242R  
66,TP/PO 2,2025-01-28,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06775,SOLAR INDUSTRIES INDIA LIMITED - ODISHA,21AACCS2132E1Z5,,"PLOT NO.389-392,MAUZA BEHRAPALI MAUZA BEHERALIJHARAUGUDAOdishaIndia",AACCS2132E  
67,CM24-25POAR 863,2025-01-16,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S03870,GARUDA POWER PRIVATE LTD-JHARKHAND,20AADCG3908M1ZR,,"PLOT NO.43, WARD NO. 194JharkhandIndia",AADCG3908M  
68,PC24-25/PO 330,2025-02-14,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06105,DRISHTI ENTERPRISES,20ACWPB1303R1ZN,,NULLNULLNULLNULL,ACWPB1303R  
69,CM24-25POAR 819,2025-01-02,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04444,ARSHYAN BATTERY,20BOHPA1007F1Z1,,MAIN ROADJharkhandIndia,BOHPA1007F  
70,AN24-25POAR 728,2025-03-01,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04513,DOZER WORLD PRIVATE LIMITED - ODISHA,21AADCD2500J1ZC,,"APARAJITA APT.,FLAT  # 303, PL.#42,OdishaIndia",AADCD2500J  
71,TP24-25/PO 1311,2025-01-17,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06836,SOLAR INDUSTRIES INDIA LIMITED - NAGPUR,27AACCS2132E1ZT,,"CHAKDOH PLANT KH NO 37-39 & 78-83,NAGPURMaharashtraIndia",AACCS2132E  
72,AN24-25/PO 590,2025-01-04,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06271,OMM SAI ENGINEERING,21AAIFO3202G1ZW,,"BYE PASS ROAD,TALCHER,ODISHAOdishaIndia",AAIFO3202G  
73,TP24-25/PO 1654,2025-03-28,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04818,ESKAY ENGINEERING,20AXLPK9396F1Z6,,Godhar Near Power HouseJharkhandIndia,AXLPK9396F  
74,AN24-25/PO 696,2025-02-24,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04174,J.K.TRADERS & CO,21AAYPR6261N1ZW,,HANDIDHUA CHOCKOdishaIndia,AAYPR6261N  
75,AN24-25POAR 657,2025-01-30,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04081,HINGULA BATTERIES,21AGUPB9119R1ZT,,"BYE PASS,HATATOTAANGULOdishaIndia",AGUPB9119R  
76,TP24-25POAR 1086,2025-03-15,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06411,S.S.DIESELS,22ADIPV6203F1ZR,,"PHASE III,HDD 94,KABIR NAGARRAIPURChandigarhIndia",ADIPV6203F  
77,TP24-25POAR 1075,2025-03-13,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04483,PPS MOTORS PRIVATE LIMITED - ODISHA,21AAFCP8182N1Z0,,"2ND FLOOR,PLOT NO 80/A,KHORDHAOdishaIndia",AAFCP8182N  
78,AN24-25POAR 587,2025-01-07,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S03098,DEVSHI EARTHMOVERS PVT LTD-HYDERABAD,36AABCD9558N1ZZ,,"PESHWARI PLAZAIDA Nacharam, Nacharam, HyderabadTelanganaIndia",AABCD9558N  
79,AN24-25/PO 727,2025-03-04,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S05020,MALTEA GLOBAL SOLUTION PVT LTD,36AAMCM7546C1ZA,,"First Floor, Plot No 39, Mano Vikas Nagar,TelanganaIndia",AAMCM7546C  
80,TP24-25/PO 1345,2025-02-08,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06605,GAYATRI COMPUTERS,22DSFPB9039G1ZY,,NULLNULLNULLNULL,            
81,AN24-25/PO 762,2025-03-02,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04174,J.K.TRADERS & CO,21AAYPR6261N1ZW,,HANDIDHUA CHOCKOdishaIndia,AAYPR6261N  
82,TP24-25/PO 1261,2025-01-15,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06775,SOLAR INDUSTRIES INDIA LIMITED - ODISHA,21AACCS2132E1Z5,,"PLOT NO.389-392,MAUZA BEHRAPALI MAUZA BEHERALIJHARAUGUDAOdishaIndia",AACCS2132E  
83,CM24-25POAR 1091,2025-03-26,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06867,EXXONMOBIL LUBRICANTS PRIVATE LIMITED - WEST BENGAL,19AABCE0207H1Z3,,"20Cube Warehousing and Distribution Pvt Ltd,KOLKATAWest BengalIndia",AABCE0207H  
84,AN24-25/PO 799,2025-03-01,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04549,MILLENNIUM RED DOT PRIVATE LIMITED,29AANCM5395G1ZT,,"B-28, 3RD CROSSMAHADEVAPURA, BANGALORE 560048KarnatakaIndia",AANCM5395G  
85,TP24-25POAR 1019,2025-03-01,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06387,RAMESHWAR NUT BOLTS,22AGWPA7528F1ZE,,KHARSIA ROADRAIGARHChhattisgarhIndia,AGWPA7528F  
86,TP24-25POAR 1124,2025-03-28,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00765,CJN HITECH MOTORS PRIVATE LIMITED.,37AAGCC9788E1Z4,,SURVEY NO.714/2THIRUPATIAndhra PradeshIndia,AAGCC9788E  
87,TP24-25/PO 1631,2025-03-13,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S07016,JAI BALAJI TRADERS,22AGBPA1724A1ZN,,MAIN ROADCHANDRAPURChhattisgarhIndia,AGBPA1724A  
88,TP24-25POAR 878,2025-01-25,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00009,AGARWAL EARTHMOVING ENTERPRISES-DELHI,07AALPG2743F1ZW,,111-D. KAMALA NAGARDELHIDelhiIndia,AALPG2743F  
89,TP24-25POAR 914,2025-02-04,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06482,GARG HARDWARE,22ADBPG5772D1Z1,,"NEAR RAM NIWAS TALKIES ROAD,RAIGARHChhattisgarhIndia",ADBPG5772D  
90,TP24-25POAR 876,2025-01-24,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06482,GARG HARDWARE,22ADBPG5772D1Z1,,"NEAR RAM NIWAS TALKIES ROAD,RAIGARHChhattisgarhIndia",ADBPG5772D  
91,TP24-25/PO 1558,2025-01-28,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06899,KEDIA TRADERS,22AGOPK1604Q1Z8,,KEDIA BHAVANBALUMATHChhattisgarhIndia,AGOPK1604Q  
92,HN24-25/PO 9,2025-03-29,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00207,NTR TYRES,37AHRPK6844N1ZE,,15/743 - JAMES GARDENNELLOREAndhra PradeshIndia,AHRPK6844N  
93,AN24-25POAR 766,2025-03-18,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00009,AGARWAL EARTHMOVING ENTERPRISES-DELHI,07AALPG2743F1ZW,,111-D. KAMALA NAGARDELHIDelhiIndia,AALPG2743F  
94,CM24-25/PO 98,2025-02-20,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S00334,TATA HITACHI CONSTRUCTION MACHINERY COMPANY PVT LTD. JHARKHAND,20AAACT9077B1ZO,,TELCON WARE HOSE. NAWAGARHJHARKHANDJharkhandIndia,AAACT9077B  
95,TP24-25/PO 1282,2025-01-26,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S06415,HYDROTECH HYDRAULIC,22AAPFH7915N1ZV,,"KH-416,PL-279/4 SHOP NO-2 AND 3 GROUND FLOOR,RAIGARHChhattisgarhIndia",AAPFH7915N  
96,AN24-25POAR 713,2025-02-19,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04111,RISHAV AUTOMOBILES - ODISHA,21ALQPD7775A1Z9,,"PLOT.NO 2383/3286,KHATA NO60OdishaIndia",ALQPD7775A  
97,TP24-25/PO 1441,2025-02-10,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S03110,NEW DIAMOND ELECTRICALS WORKS,23AGRPM0784A1ZJ,,"Main Road, SingrauliMadhya PradeshIndia",AGRPM0784A  
98,AN24-25POAR 604,2025-01-11,,,,,,,,,,2025-05-23 15:31:03.295728,2025-05-23 15:31:03.295728,S04483,PPS MOTORS PRIVATE LIMITED - ODISHA,21AAFCP8182N1Z0,,"2ND FLOOR,PLOT NO 80/A,KHORDHAOdishaIndia",AAFCP8182N  
