invoice_name,file_name,file_path,folder_name,number_of_pages,is_multipage,Invoice No,Invoice Date,Seller GSTIN,Seller Pan,Seller Name,Buyer GSTIN,Buyer Name,Buyer Pan,Ship to GSTIN,Ship to Name,Subtotal Amount,Discount Amount,CGST Amount,SGST Amount,IGST Amount,Cess Amount,Additianal Cess Amount
invoice_044,GRN5060603.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Swiggy/GRN5060603.pdf,Swiggy,1,False,,,,,,,,,,,,,,,,,
invoice_035,Apollo Medicine JUNE 2025 (1).pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Swiggy/Apollo Medicine JUNE 2025 (1).pdf,Swiggy,1,False,,,,,,,,,,,,,,,,,
invoice_045,IM-PI23000001297_Swiggy_IM FP&SKAN_DSP&Glance.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Swiggy/IM-PI23000001297_Swiggy_IM FP&SKAN_DSP&Glance.pdf,Swiggy,1,False,,,,,,,,,,,,,,,,,
invoice_046,DOC378.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Lulu/DOC378.pdf,Lulu,1,False,,,,,,,,,,,,,,,,,
invoice_047,DOC376.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Lulu/DOC376.pdf,Lulu,1,False,,,,,,,,,,,,,,,,,
invoice_048,DOC373.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Lulu/DOC373.pdf,Lulu,1,False,,,,,,,,,,,,,,,,,
invoice_049,_000001856-0006_SI_SI2012311401.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Grasim/_000001856-0006_SI_SI2012311401.pdf,Grasim,3,True,,,,,,,,,,,,,,,,,
invoice_051,_QS0686F956BCXX-0002_SI_GRASIM INDUSTRIES.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Grasim/_QS0686F956BCXX-0002_SI_GRASIM INDUSTRIES.pdf,Grasim,2,True,,,,,,,,,,,,,,,,,
invoice_052,_000009338-0001_SI_GRASIM BILL NO - 2184.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Grasim/_000009338-0001_SI_GRASIM BILL NO - 2184.pdf,Grasim,1,False,,,,,,,,,,,,,,,,,
invoice_054,chettinad 3.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Grasim/chettinad 3.pdf,Grasim,1,False,,,,,,,,,,,,,,,,,
invoice_053,_QS0683AFF94HFK-0001_SI_13-4-2024 TOTAL INVOICES.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Grasim/_QS0683AFF94HFK-0001_SI_13-4-2024 TOTAL INVOICES.pdf,Grasim,2,True,,,,,,,,,,,,,,,,,
invoice_055,_000000737-0001_SI_Grasim 6207178270.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Grasim/_000000737-0001_SI_Grasim 6207178270.pdf,Grasim,1,False,,,,,,,,,,,,,,,,,
invoice_050,_000013845-0001_SI_Sales_24-25_635.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Grasim/_000013845-0001_SI_Sales_24-25_635.pdf,Grasim,3,True,,,,,,,,,,,,,,,,,
invoice_057,I-25-26-002690 1.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Zepto/I-25-26-002690 1.pdf,Zepto,2,True,,,,,,,,,,,,,,,,,
invoice_056,9506016386 1.pdf,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Zepto/9506016386 1.pdf,Zepto,9,True,,,,,,,,,,,,,,,,,
invoice_038,SWIGGY LIMITED_Jul 25_FMS Rental_Lease Rental_IND-214045.PDF,/Users/fis/Documents/Data/Showri_POCs/ACRDemo/Swiggy/SWIGGY LIMITED_Jul 25_FMS Rental_Lease Rental_IND-214045.PDF,Swiggy,8,True,,,,,,,,,,,,,,,,,
