id,date,voucher_name,branch,currency,party,quantity,gross_amt,discount,gross_minus_discount,net_amount,deductions,total_value
2,2024-04-01,AN24-25PMR 2,Ananta OCP,INR,MAA SABITRI ENTERPRISER,855.00,109155.00,,109155.00,109155.00,,109155.00
3,2024-04-01,AN24-25PMR 3,Ananta OCP,INR,MAA SABITRI ENTERPRISER,185.00,21755.00,,21755.00,21755.00,,21755.00
4,2024-04-01,AN24-25PMR 4,Ananta OCP,INR,MAA SABITRI ENTERPRISER,120.00,144144.00,,144144.00,144144.00,,144144.00
5,2024-04-01,AN24-25PMR 39,Ananta OCP,INR,NAYARA ENERGY LIMITED,40000.00,3273885.20,,3273885.20,3273885.20,2217.33,3271668.00
6,2024-04-01,AN24-25PMR 40,Ananta OCP,INR,NAYARA ENERGY LIMITED,40000.00,3273885.20,,3273885.20,3273885.20,2217.33,3271668.00
7,2024-04-01,AN24-25PNI 1,Ananta OCP,INR,TALCHER INDANE GRAMIN VITRAK,6.00,11631.00,,11631.00,11631.00,,11631.00
8,2024-04-01,AN24-25PNI 2,Ananta OCP,INR,TALCHER INDANE GRAMIN VITRAK,11.00,21323.50,,21323.50,21323.50,,21324.00
9,2024-04-01,AN24-25PNI 3,Ananta OCP,INR,MAA SABITRI ENTERPRISER,1.00,250.00,,250.00,295.00,,295.00
10,2024-04-01,AN24-25PNI 4,Ananta OCP,INR,MAA SABITRI ENTERPRISER,2.00,7887.98,,7887.98,9192.62,,9193.00
11,2024-04-01,AN24-25PNI 5,Ananta OCP,INR,MAA SABITRI ENTERPRISER,1.00,19293.00,,19293.00,19293.00,,19293.00
12,2024-04-01,AN24-25PNI 6,Ananta OCP,INR,MAA SABITRI ENTERPRISER,1.00,650.00,,650.00,650.00,,650.00
13,2024-04-01,AN24-25PNI 7,Ananta OCP,INR,MAA SABITRI ENTERPRISER,1.00,17100.00,,17100.00,17100.00,,17100.00
14,2024-04-01,AN24-25PNI 8,Ananta OCP,INR,MAA SABITRI ENTERPRISER,144.00,6392.40,,6392.40,7543.02,,7543.00
15,2024-04-01,AN24-25PNI 9,Ananta OCP,INR,MAA SABITRI ENTERPRISER,1.00,3861.00,,3861.00,3861.00,,3861.00
16,2024-04-01,AN24-25PNI 10,Ananta OCP,INR,MAA SABITRI ENTERPRISER,1.00,23826.00,,23826.00,23826.00,,23826.00
17,2024-04-01,AN24-25PNI 11,Ananta OCP,INR,MAA SABITRI ENTERPRISER,1.00,12379.00,,12379.00,12379.00,,12379.00
18,2024-04-01,AN24-25PNI 12,Ananta OCP,INR,MAA SABITRI ENTERPRISER,10.00,1596.00,,1596.00,1596.00,,1596.00
19,2024-04-01,AN24-25PNI 13,Ananta OCP,INR,MAA SABITRI ENTERPRISER,1.00,36842.00,,36842.00,36842.00,,36842.00
20,2024-04-01,AN24-25PNI 14,Ananta OCP,INR,SANJIT ARTS,1.00,31350.00,,31350.00,31350.00,,31350.00
21,2024-04-01,AN24-25PNI 15,Ananta OCP,INR,MAA SABITRI ENTERPRISER,100.00,3220.00,,3220.00,3799.60,,3800.00
22,2024-04-01,AN24-25PNI 16,Ananta OCP,INR,SANJIT ARTS,11.00,38500.00,,38500.00,38500.00,,38500.00
23,2024-04-01,AN24-25PNI 18,Ananta OCP,INR,ASPHA ELECTRICAL,22.00,16850.00,,16850.00,16850.00,,16850.00
24,2024-04-01,AN24-25PNI 360,Ananta OCP,INR,ARYA BUILDCON,500.00,130860.00,,130860.00,167500.80,,167501.00
25,2024-04-01,AN24-25PNI 361,Ananta OCP,INR,ARYA BUILDCON,520.00,121877.60,,121877.60,156003.32,,156003.00
26,2024-04-01,AN24-25PNI 362,Ananta OCP,INR,ARYA BUILDCON,260.00,67030.60,,67030.60,85799.16,,85799.00
27,2024-04-01,CM24-25PMR 1,Consortium-Magadh,INR,NAYARA ENERGY LIMITED,40000.00,3273884.80,,3273884.80,3273884.80,2217.00,3271668.00
28,2024-04-01,CM24-25PMR 14,Consortium-Magadh,INR,ROHITH KUMAR GUPTA-RANCHI,1803.00,390241.99,,390241.99,390241.99,,390242.00
29,2024-04-01,CM24-25PMR 82,Consortium-Magadh,INR,M.B ENTERPRISES,1.00,735000.00,,735000.00,867300.00,,867300.00
30,2024-04-01,CM24-25PV- 1,Consortium-Magadh,INR,SRI BALAJI ANAND CHEMICALS,40.00,340000.00,,,374000.00,,374000.00
31,2024-04-01,CM24-25PV- 2,Consortium-Magadh,INR,SARFARAJ ALAM,1.00,22400.00,,,22176.00,,22176.00
32,2024-04-01,CM24-25PV- 3,Consortium-Magadh,INR,NARENDRA PRASAD CHAURASIYA,1.00,26620.00,,,23958.00,,23958.00
33,2024-04-01,CM24-25PV- 4,Consortium-Magadh,INR,SUMEET KUMAR GADODIA,1.00,52500.00,,,56700.00,,56700.00
34,2024-04-01,HO24-25PMR 1,Head Office,INR,AGARWAL EARTHMOVING ENTERPRISES-DELHI,21.00,58500.00,,58500.00,69030.00,,69030.00
35,2024-04-01,HO24-25PMR 2,Head Office,INR,TATA HITACHI CONSTRUCTION MACHINERY COMPANY PVT LTD. NAGPUR,2.00,68448.00,21903.36,46544.64,54922.68,,54923.00
36,2024-04-01,HO24-25PNI 1,Head Office,INR,SWAPNA ENTERPRISES,229.00,28730.00,,28730.00,28730.00,,30490.00
37,2024-04-01,HO24-25PV- 1,Head Office,INR,GREYS N GREENS DIGITAL AGENCY PVT LTD,1.00,277100.00,,,299268.00,,299268.00
38,2024-04-01,HO24-25PV- 2,Head Office,INR,RAM ASSOCIATES,1.00,15000.00,,,15000.00,,15000.00
39,2024-04-01,HO24-25PV- 3,Head Office,INR,MYSCAPE COURTYARD OWNERS WELFARE ASSOCIATION,1.00,99645.00,,,115588.20,,115588.00
40,2024-04-01,HO24-25PV- 26,Head Office,INR,INTERGLOBE AVIATION LIMITED-ODISHA,2.00,13332.00,,,13963.20,,13963.00
41,2024-04-01,HO24-25PV- 27,Head Office,INR,INTERGLOBE AVIATION LIMITED-UTTAR PRADESH,2.00,25793.00,,,27047.25,,27047.00
42,2024-04-01,HO24-25PV- 66,Head Office,INR,SRI SAI INTERNATIONAL TRAVELS,2.00,9789.00,,,9843.00,,9843.00
43,2024-04-01,HO24-25PV- 67,Head Office,INR,SRI SAI INTERNATIONAL TRAVELS,2.00,10850.00,,,10904.00,,10904.00
44,2024-04-01,HO24-25PV- 129,Head Office,INR,INTERGLOBE AVIATION LIMITED-BIHAR,2.00,9085.00,,,9488.50,,9489.00
45,2024-04-01,HO24-25PV- 138,Head Office,INR,INTERGLOBE AVIATION LIMITED-TELANGANA,2.00,10101.00,,,10550.00,,10550.00
46,2024-04-01,HO24-25PV- 1677,Head Office,INR,RAMAKANTA MOHANTY & RITESH KUMAR MOHANTY E OR S,1.00,250000.00,,,295000.00,,295000.00
47,2024-04-01,HO24-25PV- 1688,Head Office,INR,CONTAINER CORPORATION OF INDIA LIMITED-TELANGANA,1.00,27450.00,,,32391.00,,32391.00
48,2024-04-01,HO24-25PV- 1689,Head Office,INR,CONTAINER CORPORATION OF INDIA LIMITED-TELANGANA,1.00,13900.00,,,16402.00,,16402.00
49,2024-04-01,HO24-25PV- 1861,Head Office,INR,ARTHA FREIGHT CARGO EXPRESS,1.00,135000.00,,,135000.00,,135000.00
50,2024-04-01,HO24-25PV- 1862,Head Office,INR,ARTHA FREIGHT CARGO EXPRESS,1.00,55000.00,,,55000.00,,55000.00
51,2024-04-01,HO24-25PV- 1863,Head Office,INR,ARTHA FREIGHT CARGO EXPRESS,1.00,90000.00,,,90000.00,,90000.00
52,2024-04-01,J224-25/PVAO 1,Jayant-II,INR,JTRONIX TECHNOLOGIES,8.00,348700.00,,348700.00,411466.00,3517.00,411489.00
53,2024-04-01,J224-25PMR 10,Jayant-II,INR,RAGHVENDRA ENTERPRISES-MADHYAPRADESH,15.00,1650.00,,1650.00,1947.00,1.65,1945.00
54,2024-04-01,J224-25PMR 11,Jayant-II,INR,RAGHVENDRA ENTERPRISES-MADHYAPRADESH,10.00,23371.00,,23371.00,27577.78,23.37,27554.00
55,2024-04-01,J224-25PMR 20,Jayant-II,INR,GAYATTRI ENTERPRISES - MP,44.00,14471.00,1447.10,13023.90,15397.00,,15397.00
56,2024-04-01,J224-25PMR 21,Jayant-II,INR,GAYATTRI ENTERPRISES - MP,1.00,220.00,33.55,186.45,220.01,,220.00
57,2024-04-01,J224-25PMR 22,Jayant-II,INR,GAYATTRI ENTERPRISES - MP,4.00,640.00,97.60,542.40,640.04,,640.00
58,2024-04-01,J224-25PMR 37,Jayant-II,INR,BLACK DIAMOND FILLING STATION,6000.00,551940.00,,551940.00,551940.00,551.94,551388.00
59,2024-04-01,J224-25PMR 107,Jayant-II,INR,GOEL AUTO AGENCIES,8.00,21350.00,,21350.00,27078.00,,27078.00
60,2024-04-01,J224-25PNI 2,Jayant-II,INR,GANESHA TRADING,120.00,194400.00,,194400.00,194400.00,,194400.00
61,2024-04-01,J224-25PNI 6,Jayant-II,INR,SILICON COMPUTERS,1.00,4803.95,,4803.95,5668.67,,5669.00
62,2024-04-01,J224-25PNI 7,Jayant-II,INR,INSTECH COMMUNICATION &TECHNOLOGY,1.00,3500.00,,3500.00,4130.00,,4130.00
63,2024-04-01,J224-25PV- 1,Jayant-II,INR,S.G.BROTHERS,1.00,55000.00,,,64350.00,,64350.00
64,2024-04-01,J224-25PV- 2,Jayant-II,INR,GR CONSTRUCTIONS - MADHYA PRADESH,29938.30,1706483.10,,,1996585.23,,1996585.00
65,2024-04-01,J224-25PV- 3,Jayant-II,INR,LAKSHMI CONSTRUCTIONS - MADHYA PRADESH,37789.00,2153973.00,,,2498608.68,,2498609.00
66,2024-04-01,KH24-25PMR 1,Khadia,INR,DURGA FILLING STATION,20000.00,1767400.00,,1767400.00,1767400.00,,1767400.00
67,2024-04-01,KM24-25PNI 14,KMSagar Reservoir,INR,MALLANNA SWAMY ENTERPRISES,1.00,170000.00,,170000.00,170000.00,,170000.00
68,2024-04-01,KM24-25PNI 31,KMSagar Reservoir,INR,DEVI FABRICATIONS,6040.00,755000.00,,755000.00,890900.00,,903500.00
69,2024-04-01,KM24-25PNI 32,KMSagar Reservoir,INR,DEVI FABRICATIONS,1900.00,237500.00,,237500.00,280250.00,,290750.00
70,2024-04-01,KM24-25PNI 33,KMSagar Reservoir,INR,DEVI FABRICATIONS,136.00,17680.00,,17680.00,20862.40,,20862.00
71,2024-04-01,KM24-25PV- 1,KMSagar Reservoir,INR,DASARI NARASIMHULU,15.00,17499.90,,,17324.90,,17325.00
72,2024-04-01,NL24-25PNI 16,Nellore-AP,INR,MITHRA EARTH MOVERS - ANDHRA PRADESH,1.00,225499.00,,225499.00,266088.82,,266089.00
73,2024-04-01,NL24-25PNI 17,Nellore-AP,INR,MITHRA EARTH MOVERS - ANDHRA PRADESH,1.00,10764.00,,10764.00,12701.52,,12702.00
74,2024-04-01,NL24-25PNI 18,Nellore-AP,INR,MITHRA EARTH MOVERS - ANDHRA PRADESH,1.00,11584.00,,11584.00,13669.12,,13669.00
75,2024-04-01,NL24-25PNI 25,Nellore-AP,INR,VALUE LINE HOMESTLE PRIVATE LIMITED,1.00,466918.00,,466918.00,550963.24,,550963.00
76,2024-04-01,NL24-25PNI 26,Nellore-AP,INR,VALUE LINE HOMESTLE PRIVATE LIMITED,1.00,71401.60,,71401.60,84253.89,,84254.00
77,2024-04-01,NL24-25PNI 27,Nellore-AP,INR,SRI PRIYANKA GLASS-NEW,1.00,28572.00,,28572.00,33714.96,,33714.00
78,2024-04-01,NL24-25PNI 28,Nellore-AP,INR,SRI PRIYANKA GLASS-NEW,1.00,11640.00,,11640.00,13735.20,,13735.00
79,2024-04-01,NL24-25PNI 29,Nellore-AP,INR,SRI PRIYANKA GLASS-NEW,1.00,11640.00,,11640.00,13735.20,,13735.20
80,2024-04-01,NL24-25PNI 30,Nellore-AP,INR,SRI PRIYANKA GLASS-NEW,1.00,38880.00,,38880.00,45878.40,,45878.00
81,2024-04-01,NL24-25PNI 31,Nellore-AP,INR,SRI PRIYANKA GLASS-NEW,1.00,19788.00,,19788.00,23349.84,,23350.00
82,2024-04-01,NL24-25PV- 1,Nellore-AP,INR,K K DURGA PRASAD,1.00,100000.00,,,108000.00,,108000.00
83,2024-04-01,NL24-25PV- 2,Nellore-AP,INR,K K DURGA PRASAD,1.00,100000.00,,,108000.00,,108000.00
84,2024-04-01,NL24-25PV- 26,Nellore-AP,INR,KIRAN KRISHNA ENTETRPRISES,1.00,450000.00,,,450000.00,,450000.00
85,2024-04-01,PC24-25PMR 2,Pachhwara Central,INR,BIMLA KISAN SEWA KENDRA,14000.00,1289120.00,,1289120.00,1289120.00,,1289120.00
86,2024-04-01,PC24-25PMR 22,Pachhwara Central,INR,SURESH KIRANA STORE,1661.00,280910.00,,280910.00,280910.00,,280910.00
87,2024-04-01,PC24-25PNI 7,Pachhwara Central,INR,CHANDAN VEGETABLE STORE,1.00,20791.00,,20791.00,20791.00,,20791.00
88,2024-04-01,PC24-25PNI 10,Pachhwara Central,INR,SURESH KIRANA STORE,1.00,67037.00,,67037.00,67037.00,,67037.00
89,2024-04-01,PC24-25PNI 11,Pachhwara Central,INR,SURESH KIRANA STORE,1.00,143736.00,,143736.00,143736.00,,143736.00
90,2024-04-01,PC24-25PNI 12,Pachhwara Central,INR,SURESH KIRANA STORE,1.00,2207.00,,2207.00,2207.00,,2207.00
91,2024-04-01,PC24-25PV- 1,Pachhwara Central,INR,MOULALI TRANSPORT,1.00,29935.00,,,31431.75,,31431.75
92,2024-04-01,TP24-25PMR 3,Talaipalli,INR,PADMA PETROLEUM,20000.00,1884800.00,,1884800.00,1884800.00,,1884800.00
93,2024-04-01,TP24-25PMR 17,Talaipalli,INR,PPS MOTORS PVT LTD(BHARAT BENZ)-MADHYA PRADESH,40.00,95406.00,,95406.00,122119.68,,122120.00
94,2024-04-01,TP24-25PMR 18,Talaipalli,INR,PPS MOTORS PVT LTD(BHARAT BENZ)-MADHYA PRADESH,32.00,28928.74,,28928.74,34135.92,,34136.00
95,2024-04-01,TP24-25PMR 19,Talaipalli,INR,PPS MOTORS PVT LTD(BHARAT BENZ)-MADHYA PRADESH,40.00,156710.91,,156710.91,192593.79,,192594.00
96,2024-04-01,TP24-25PMR 20,Talaipalli,INR,INNOVATIVE INFRA & MINING SOLUTIONS LIMITED - CHATTISGARH,100.00,391170.00,,391170.00,500599.32,,500599.00
97,2024-04-01,TP24-25PMR 21,Talaipalli,INR,ASSOCIATED ENGINEERING INDUSTRIES,15.00,765000.00,,765000.00,902700.00,,902700.00
98,2024-04-01,TP24-25PMR 22,Talaipalli,INR,DEVGHAR AGENCIES,10.00,80500.00,,80500.00,103040.00,,103040.00
99,2024-04-01,TP24-25PMR 37,Talaipalli,INR,SPECIAL BLASTS LIMITED,7.58,299410.00,,299410.00,353303.80,,353304.00
100,2024-04-01,TP24-25PMR 92,Talaipalli,INR,MEGA TRADING COMPANY,3.00,4501.00,,4501.00,5311.18,,5311.00
101,2024-04-01,TP24-25PMR 106,Talaipalli,INR,RAMESHWAR NUT BOLTS,29.00,29455.00,,29455.00,34756.90,,34757.00
102,2024-04-01,TP24-25PMR 233,Talaipalli,INR,RAMESHWAR NUT BOLTS,22.00,9417.00,,9417.00,11112.06,,11112.00
103,2024-04-01,TP24-25PNI 17,Talaipalli,INR,MEGA TRADING COMPANY,1.00,48430.00,,48430.00,57147.40,,57147.00
104,2024-04-01,TP24-25PNI 42,Talaipalli,INR,JAGANNATH TRADERS,1.00,440720.00,,440720.00,440720.00,,440720.00
105,2024-04-01,TP24-25PNI 52,Talaipalli,INR,FURNITURE HOUSE,1.00,25670.00,,25670.00,30290.60,,30291.00
106,2024-04-01,TP24-25PNI 53,Talaipalli,INR,FURNITURE HOUSE,1.00,127500.00,,127500.00,150450.00,,150450.00
107,2024-04-01,TP24-25PNI 54,Talaipalli,INR,FURNITURE HOUSE,1.00,10000.00,,10000.00,11800.00,,11800.00
108,2024-04-01,TP24-25PNI 55,Talaipalli,INR,FURNITURE HOUSE,1.00,25660.00,,25660.00,30278.80,,30279.00
109,2024-04-01,TP24-25PNI 56,Talaipalli,INR,FURNITURE HOUSE,1.00,28000.00,,28000.00,33040.00,,33040.00
110,2024-04-01,TP24-25PNI 94,Talaipalli,INR,DANSENA ELECTRICALS,1.00,142563.56,,142563.56,168225.00,,172725.00
111,2024-04-01,TP24-25PNI 674,Talaipalli,INR,GARG HARDWARE,1.00,3500.00,,3500.00,4130.00,,4130.00
112,2024-04-01,TP24-25PV- 1,Talaipalli,INR,SIS LIMITED,1.00,724223.55,,,840099.32,,840099.00
113,2024-04-01,TP24-25PV- 2,Talaipalli,INR,AGARWAL GUEST HOUSE - CH,1.00,105000.00,,,113400.00,,113400.00
114,2024-04-01,TP24-25PV- 11,Talaipalli,INR,RADHA TRANSPORT CARRIERS,1.00,39000.00,,,40170.00,,40170.00
115,2024-04-01,TP24-25PV- 23,Talaipalli,INR,INNOVATIVE INFRA & MINING SOLUTIONS LIMITED - CHATTISGARH,1.00,127742.00,,,148180.72,,148181.00
116,2024-04-01,TP24-25PV- 77,Talaipalli,INR,AHSAN PAINTS,1.00,128160.00,,,149947.20,,149947.00
117,2024-04-01,TP24-25PV- 334,Talaipalli,INR,SHRIRAM GENERAL INSURANCE,1.00,165252.00,,,194997.36,,194997.00
118,2024-04-01,TP24-25PV- 382,Talaipalli,INR,HEXAGON GEOSYSTEMS INDIA PRIVATE LIMITED - HARYANA,1.00,398880.00,,,470678.40,,470678.00
119,2024-04-02,AN24-25PMR 41,Ananta OCP,INR,NAYARA ENERGY LIMITED,40000.00,3273885.20,,3273885.20,3273885.20,2217.33,3271668.00
120,2024-04-02,CM24-25PMR 2,Consortium-Magadh,INR,NAYARA ENERGY LIMITED,40000.00,3273884.80,,3273884.80,3273884.80,2217.00,3271668.00
121,2024-04-02,CM24-25PMR 3,Consortium-Magadh,INR,NAYARA ENERGY LIMITED,40000.00,3273884.80,,3273884.80,3273884.80,2217.00,3271668.00
122,2024-04-02,CM24-25PV- 5,Consortium-Magadh,INR,VICKY KUMAR AND OTHERS,1.00,140000.00,,,162400.00,,162400.00
123,2024-04-02,CM24-25PV- 6,Consortium-Magadh,INR,VICKY KUMAR AND OTHERS,1.00,140000.00,,,162400.00,,162400.00
124,2024-04-02,CM24-25PV- 7,Consortium-Magadh,INR,VICKY KUMAR AND OTHERS,1.00,135484.00,,,157161.44,,157161.00
125,2024-04-02,CM24-25PV- 8,Consortium-Magadh,INR,VICKY KUMAR AND OTHERS,1.00,140000.00,,,162400.00,,162400.00
126,2024-04-02,CM24-25PV- 9,Consortium-Magadh,INR,VICKY KUMAR AND OTHERS,1.00,135484.00,,,157161.44,,157161.00
127,2024-04-02,CM24-25PV- 10,Consortium-Magadh,INR,VICKY KUMAR AND OTHERS,1.00,130967.00,,,151921.72,,151922.00
128,2024-04-02,CM24-25PV- 11,Consortium-Magadh,INR,VICKY KUMAR AND OTHERS,1.00,140000.00,,,162400.00,,162400.00
129,2024-04-02,CM24-25PV- 12,Consortium-Magadh,INR,SRI BALAJI ANAND CHEMICALS,40.00,340000.00,,,374000.00,,374000.00
130,2024-04-02,CM24-25PV- 13,Consortium-Magadh,INR,SRI BALAJI ANAND CHEMICALS,40.00,340000.00,,,374000.00,,374000.00
131,2024-04-02,CS24-25PMR 1,Central Stores-1,INR,DOZER WORLD PRIVATE LIMITED-SINGRAULI,28.00,21000.00,,21000.00,24780.00,,24780.00
132,2024-04-02,CS24-25PMR 2,Central Stores-1,INR,DOZER WORLD PRIVATE LIMITED-SINGRAULI,1.00,3500.00,,3500.00,4130.00,,4130.00
133,2024-04-02,CS24-25PMR 3,Central Stores-1,INR,DOZER WORLD PRIVATE LIMITED-SINGRAULI,3.00,39000.00,,39000.00,46020.00,,46020.00
134,2024-04-02,CS24-25PMR 4,Central Stores-1,INR,DOZER WORLD PRIVATE LIMITED-SINGRAULI,4.00,30000.00,,30000.00,38400.00,,38400.00
135,2024-04-02,CS24-25PMR 5,Central Stores-1,INR,DOZER WORLD PRIVATE LIMITED-SINGRAULI,26.00,212500.00,,212500.00,251800.00,,251800.00
136,2024-04-02,CS24-25PMR 6,Central Stores-1,INR,DOZER WORLD PRIVATE LIMITED-SINGRAULI,76.00,970350.00,,970350.00,1237198.00,,1237198.00
137,2024-04-02,CS24-25PMR 7,Central Stores-1,INR,DOZER WORLD PRIVATE LIMITED-SINGRAULI,10.00,212500.00,,212500.00,272000.00,,272000.00
138,2024-04-02,CS24-25PMR 8,Central Stores-1,INR,DOZER WORLD PRIVATE LIMITED-SINGRAULI,57.00,624300.00,,624300.00,779324.00,,779324.00
139,2024-04-02,CS24-25PMR 9,Central Stores-1,INR,TRICHUR SUNDARAM SANTHANAM & FAMILY PRIVATE LIMITED - TELANGANA,8.00,21020.00,4834.60,16185.40,19098.77,,19099.00
140,2024-04-02,CS24-25PMR 10,Central Stores-1,INR,TRICHUR SUNDARAM SANTHANAM & FAMILY PRIVATE LIMITED - TELANGANA,37.00,203740.00,46860.20,156879.80,185118.16,,185118.00
141,2024-04-02,CS24-25PMR 11,Central Stores-1,INR,TRICHUR SUNDARAM SANTHANAM & FAMILY PRIVATE LIMITED - TELANGANA,60.00,206750.00,47552.50,159197.50,187853.05,,187853.00
142,2024-04-02,CS24-25PMR 12,Central Stores-1,INR,TRICHUR SUNDARAM SANTHANAM & FAMILY PRIVATE LIMITED - TELANGANA,15.00,82500.00,18975.00,63525.00,74959.50,,74960.00
143,2024-04-02,CS24-25PMR 13,Central Stores-1,INR,TRICHUR SUNDARAM SANTHANAM & FAMILY PRIVATE LIMITED - TELANGANA,6.00,40920.00,9411.60,31508.40,37179.91,,37180.00
144,2024-04-02,CS24-25PMR 14,Central Stores-1,INR,DEVSHI EARTHMOVERS PVT LTD-HYDERABAD,10.00,2800.00,,2800.00,3304.00,,3658.00
145,2024-04-02,CS24-25PMR 15,Central Stores-1,INR,DEVSHI EARTHMOVERS PVT LTD-HYDERABAD,20.00,11600.00,,11600.00,14848.00,,14848.00
146,2024-04-02,CS24-25PMR 16,Central Stores-1,INR,DEVSHI EARTHMOVERS PVT LTD-HYDERABAD,3.00,27570.00,,27570.00,35289.60,,35290.00
147,2024-04-02,CS24-25PMR 17,Central Stores-1,INR,SHIV MINING EQUIPMENTS,42.00,9600.00,,9600.00,11328.00,,12260.00
148,2024-04-02,CS24-25PMR 18,Central Stores-1,INR,PPS MOTORS PRIVATE LIMITED - MADHYA PRADESH,1.00,390010.00,117003.00,273007.00,349448.96,,349449.00
149,2024-04-02,CS24-25PMR 19,Central Stores-1,INR,PPS MOTORS PRIVATE LIMITED - MADHYA PRADESH,3.00,26730.00,6682.50,20047.50,25660.80,,25661.00
150,2024-04-02,CS24-25PMR 20,Central Stores-1,INR,PPS MOTORS PRIVATE LIMITED - MADHYA PRADESH,4.00,438280.00,109570.00,328710.00,420748.80,,420749.00
151,2024-04-02,CS24-25PMR 21,Central Stores-1,INR,PPS MOTORS PRIVATE LIMITED - MADHYA PRADESH,6.00,42720.00,10680.00,32040.00,37807.20,,37807.00
152,2024-04-02,CS24-25PMR 22,Central Stores-1,INR,PPS MOTORS PRIVATE LIMITED - MADHYA PRADESH,27.00,321480.00,106088.40,215391.60,272880.58,,272881.00
153,2024-04-02,CS24-25PMR 23,Central Stores-1,INR,PPS MOTORS PRIVATE LIMITED - MADHYA PRADESH,1.00,18020.00,5946.60,12073.40,15453.96,,15454.00
154,2024-04-02,CS24-25PMR 24,Central Stores-1,INR,INTRAC TYRES PRIVATE LTD,5.00,27500.00,,27500.00,32450.00,,33630.00
155,2024-04-02,CS24-25PMR 25,Central Stores-1,INR,INTRAC TYRES PRIVATE LTD,10.00,145000.00,,145000.00,171100.00,,172516.00
156,2024-04-02,HO24-25PV- 4,Head Office,INR,HMWSSB ( HYDERABAD METROPOLITAN WATER SUPPLY & SEWARAGE BOARD ),1.00,13312.00,,,13312.00,,13312.00
157,2024-04-02,HO24-25PV- 14,Head Office,INR,TSSPDCL(SOUTHERN POWER DISTRIBUTION),1.00,6651.00,,,6651.00,,6651.00
158,2024-04-02,HO24-25PV- 17,Head Office,INR,BHARAT SANCHAR NIGAM LTD,1.00,499.00,,,588.82,,588.00
159,2024-04-02,HO24-25PV- 18,Head Office,INR,BHARAT SANCHAR NIGAM LTD,1.00,499.00,,,588.82,,589.00
160,2024-04-02,HO24-25PV- 19,Head Office,INR,BHARAT SANCHAR NIGAM LTD,1.00,499.00,,,588.82,,589.00
161,2024-04-02,HO24-25PV- 68,Head Office,INR,SRI SAI INTERNATIONAL TRAVELS,2.00,7962.00,,,7998.00,,7998.00
162,2024-04-02,HO24-25PV- 69,Head Office,INR,SRI SAI INTERNATIONAL TRAVELS,2.00,11846.00,,,11882.00,,11882.00
163,2024-04-02,HO24-25PV- 130,Head Office,INR,INTERGLOBE AVIATION LIMITED - CHHATTISGARH,2.00,7496.00,,,7829.50,,7830.00
164,2024-04-02,HO24-25PV- 149,Head Office,INR,INTERGLOBE AVIATION LIMITED-UTTAR PRADESH,2.00,11138.00,,,11646.20,,11646.00
165,2024-04-02,J224-25/PVAO 2,Jayant-II,INR,DINESH TRACK REPAIRS,1.00,64400.00,,64400.00,75992.00,644.00,75348.00
166,2024-04-02,J224-25PMR 52,Jayant-II,INR,INDIAN OIL CORPORATION LTD - UP,20000.00,1784223.00,,1784223.00,1784223.00,1523.93,1782699.00
167,2024-04-02,J224-25PNI 1,Jayant-II,INR,RAM BADAN PRASAD,1.00,14830.00,,14830.00,14830.00,,14830.00
168,2024-04-02,KH24-25PMR 2,Khadia,INR,INDIAN OIL CORPORATION LIMITED,20000.00,1797915.00,,1797915.00,1797915.00,1535.63,1796379.00
169,2024-04-02,PC24-25PMR 1,Pachhwara Central,INR,BIMLA KISAN SEWA KENDRA,14000.00,1289120.00,,1289120.00,1289120.00,,1289120.00
170,2024-04-02,PC24-25PMR 61,Pachhwara Central,INR,RAJDEEP ELECTRIC & HARDWARE STORE,35.00,38975.00,,38975.00,45990.50,,45991.00
171,2024-04-02,PC24-25PMR 62,Pachhwara Central,INR,RAJDEEP ELECTRIC & HARDWARE STORE,151.00,22440.00,,22440.00,26479.20,,26479.00
172,2024-04-02,PC24-25PNI 13,Pachhwara Central,INR,AGARWAL COMPUTER,1.00,1525.42,,1525.42,1800.00,,1800.00
173,2024-04-02,PC24-25PNI 44,Pachhwara Central,INR,SUMIT PRINTING PRESS,1.00,24925.00,,24925.00,24925.00,,24925.00
174,2024-04-02,TP24-25PMR 5,Talaipalli,INR,GOMATI FUELS,24000.00,2261760.00,,2261760.00,2261760.00,,2261760.00
175,2024-04-02,TP24-25PMR 16,Talaipalli,INR,PPS MOTORS PVT LTD(BHARAT BENZ)-MADHYA PRADESH,5.00,25492.15,,25492.15,32629.95,,32630.00
176,2024-04-02,TP24-25PMR 28,Talaipalli,INR,NAYARA ENERGY LIMITED,40000.00,3258266.00,,3258266.00,3258266.00,2203.74,3256062.00
177,2024-04-02,TP24-25PMR 38,Talaipalli,INR,SPECIAL BLASTS LIMITED,14.12,557740.00,,557740.00,658133.20,,658133.00
178,2024-04-02,TP24-25PMR 39,Talaipalli,INR,SPECIAL BLASTS LIMITED,13.91,549445.00,,549445.00,648345.10,,648345.00
179,2024-04-02,TP24-25PMR 61,Talaipalli,INR,PPS MOTORS PRIVATE LIMITED - ODISHA,4.00,7440.00,1860.00,5580.00,6584.40,,6584.00
180,2024-04-02,TP24-25PMR 62,Talaipalli,INR,PPS MOTORS PRIVATE LIMITED - ODISHA,8.00,94640.00,23660.00,70980.00,90854.40,,90854.00
